middleschool,variable.x,est,se,pct,pctse
BHL,educ1,293.921383,74.81662368,0.036957434,0.009408677
Clarke,educ1,312.1031424,77.97575644,0.0216877,0.005419412
Coile,educ1,283.0408588,65.81239367,0.047754505,0.011103832
Hilsman,educ1,373.7551859,108.796632,0.028094378,0.008173424
BHL,educ2,1933.356083,204.3240507,0.243098608,0.025622199
Clarke,educ2,2493.858552,313.5232338,0.173295452,0.021759994
Coile,educ2,2443.749959,169.9701152,0.412308208,0.028677268
Hilsman,educ2,2894.214808,286.9563917,0.217551936,0.021493853
BHL,educ3,1226.427039,170.4078627,0.15420993,0.021398977
Clarke,educ3,920.4048204,173.9057422,0.063957906,0.012086146
Coile,educ3,931.7903096,119.081298,0.157211171,0.020091334
Hilsman,educ3,1937.873442,253.9311814,0.145665801,0.019061357
BHL,educ4,2023.731948,211.2958269,0.254462395,0.026491762
Clarke,educ4,3976.189251,401.5776721,0.276300961,0.027827656
Coile,educ4,1026.843473,138.6613773,0.173248491,0.023394875
Hilsman,educ4,3750.285731,328.3165288,0.281900956,0.024644341
BHL,educ5,2475.534159,223.5220465,0.311271634,0.028022923
Clarke,educ5,6688.234742,440.2718472,0.464757981,0.030383113
Coile,educ5,1138.125214,140.0349343,0.192023887,0.02362662
Hilsman,educ5,4347.428859,335.9159252,0.326786928,0.025247971
BHL,educ9,0,0,0,0
Clarke,educ9,0,0,0,0
Coile,educ9,103.448274,13.23744624,0.017453738,0.002233415
Hilsman,educ9,0,0,0,0
BHL,college_enroll0,7200.451309,148.8585554,0.917725787,0.016742136
Clarke,college_enroll0,12821.35359,294.4049325,0.895573828,0.019391117
Coile,college_enroll0,4733.939876,144.4248167,0.81303704,0.024096333
Hilsman,college_enroll0,11522.76081,256.5835333,0.871425612,0.018417714
BHL,college_enroll1,645.521211,131.6132699,0.082274213,0.016742136
Clarke,college_enroll1,1495.002231,277.9392206,0.104426172,0.019391117
Coile,college_enroll1,1088.599126,140.7720771,0.18696296,0.024096333
Hilsman,college_enroll1,1700.124364,243.8494407,0.128574388,0.018417714
BHL,uga_student0,285.69685,82.64131875,0.410300568,0.096728657
Clarke,uga_student0,888.2004658,196.4307442,0.496633595,0.083513279
Coile,uga_student0,560.8755776,93.80699723,0.493070657,0.06764502
Hilsman,uga_student0,838.2352002,165.480291,0.465788109,0.072666334
BHL,uga_student1,410.614274,108.9468851,0.589699432,0.096728657
Clarke,uga_student1,900.241707,214.632907,0.503366405,0.083513279
Coile,uga_student1,576.64005,114.7482584,0.506929343,0.06764502
Hilsman,uga_student1,961.371066,192.9279239,0.534211891,0.072666334
BHL,uga_status0,320.112748,96.78190648,0.777431083,0.112262775
Clarke,uga_status0,549.839881,157.0587989,0.591530154,0.119433097
Coile,uga_status0,135.14894,65.33380622,0.226681369,0.099435821
Hilsman,uga_status0,479.922598,139.2097642,0.514081198,0.104101168
BHL,uga_status1,91.644326,52.04756684,0.222568917,0.112262775
Clarke,uga_status1,379.6814252,150.7880884,0.408469846,0.119433097
Coile,uga_status1,461.0577108,106.1636703,0.773318631,0.099435821
Hilsman,uga_status1,453.6314783,132.1812126,0.485918802,0.104101168
BHL,monthlyinc1,580.451353,117.6208556,0.079768453,0.016094676
Clarke,monthlyinc1,1158.657819,208.2200728,0.084080203,0.015058624
Coile,monthlyinc1,1062.43503,128.4524106,0.186612503,0.022550291
Hilsman,monthlyinc1,1172.520888,186.1172457,0.092716408,0.01466249
BHL,monthlyinc2,1087.764424,154.8548568,0.149485887,0.021110896
Clarke,monthlyinc2,1078.040149,190.4071357,0.078230028,0.013818028
Coile,monthlyinc2,1116.934852,132.1502442,0.196185181,0.023127197
Hilsman,monthlyinc2,2399.209052,277.0243643,0.189716062,0.021723333
BHL,monthlyinc3,1042.77579,157.6026591,0.143303329,0.021499081
Clarke,monthlyinc3,1418.617365,245.3412494,0.10294466,0.017767057
Coile,monthlyinc3,919.1464028,129.8864858,0.161444424,0.022735173
Hilsman,monthlyinc3,1642.805095,241.2538496,0.129903858,0.018978129
BHL,monthlyinc4,1066.846201,164.7833629,0.146611203,0.0224533
Clarke,monthlyinc4,1673.410147,280.9308166,0.121434182,0.020306014
Coile,monthlyinc4,799.7115674,121.4038463,0.140466168,0.021244091
Hilsman,monthlyinc4,1505.493281,228.4294093,0.119046006,0.018001174
BHL,monthlyinc5,814.021646,147.2819173,0.11186682,0.020101327
Clarke,monthlyinc5,1107.276383,239.6271392,0.080351611,0.01733527
Coile,monthlyinc5,466.6638606,95.89295591,0.081967658,0.016818132
Hilsman,monthlyinc5,1305.369951,217.5097658,0.10322137,0.017136026
BHL,monthlyinc6,761.405595,143.2255144,0.104636066,0.019552638
Clarke,monthlyinc6,1050.026383,236.3056495,0.076197156,0.017094659
Coile,monthlyinc6,352.8515628,85.78519991,0.061976979,0.0150489
Hilsman,monthlyinc6,1139.73373,199.2198015,0.090123782,0.015711402
BHL,monthlyinc7,407.089411,110.5470333,0.05594421,0.015142657
Clarke,monthlyinc7,1078.603004,239.5064926,0.078270873,0.017327219
Coile,monthlyinc7,222.9693944,58.56409546,0.039163691,0.010269658
Hilsman,monthlyinc7,717.2586241,162.2388491,0.056716809,0.012808944
BHL,monthlyinc8,1516.348741,190.2354935,0.208384032,0.025761848
Clarke,monthlyinc8,5215.756793,428.7606354,0.378491286,0.0303882
Coile,monthlyinc8,752.5555278,121.6031858,0.132183397,0.021311995
Hilsman,monthlyinc8,2763.924243,297.1982685,0.218555704,0.023319332
BHL,vet0,6430.44949,197.7933072,0.824446672,0.023611183
Clarke,vet0,12950.21192,283.8234328,0.904736018,0.018435623
Coile,vet0,5140.921454,110.2783395,0.880666355,0.018173974
Hilsman,vet0,11479.74931,260.0174703,0.878183455,0.018003821
BHL,vet1,1369.266011,184.9303431,0.175553328,0.023611183
Clarke,vet1,1363.589737,264.1469423,0.095263982,0.018435623
Coile,vet1,696.6144334,106.2016941,0.119333645,0.018173974
Hilsman,vet1,1592.404631,235.8102039,0.121816545,0.018003821
BHL,employed0,2695.583737,226.7759013,0.343612779,0.02864547
Clarke,employed0,3805.545055,367.2964347,0.265239445,0.025537456
Coile,employed0,1484.414838,139.0239601,0.255198835,0.023791524
Hilsman,employed0,4330.581813,335.8026028,0.327912701,0.025304352
BHL,employed1,5149.245983,229.7116807,0.656387221,0.02864547
Clarke,employed1,10542.03831,375.2243321,0.734760555,0.025537456
Coile,employed1,4332.284277,141.3280941,0.744801165,0.023791524
Hilsman,employed1,8875.926505,340.570369,0.672087299,0.025304352
BHL,workstat1,77.921379,45.92953279,0.029478706,0.017233168
Clarke,workstat1,114.457146,65.81868716,0.031931607,0.018149478
Coile,workstat1,69.026367,41.90050601,0.046518323,0.027467226
Hilsman,workstat1,308.691708,111.3976581,0.072942072,0.025616715
BHL,workstat2,495.407317,109.305363,0.187419255,0.038758407
Clarke,workstat2,443.2336394,160.4101983,0.123654685,0.042077692
Coile,workstat2,268.3260016,66.68053106,0.180830544,0.041245818
Hilsman,workstat2,403.2799984,110.6144106,0.09529274,0.025431176
BHL,workstat3,1727.745538,200.7803297,0.653629389,0.04812349
Clarke,workstat3,2413.241496,325.8917075,0.673253542,0.050999984
Coile,workstat3,684.3866468,105.4171619,0.461222576,0.053604468
Hilsman,workstat3,2595.574242,290.3481574,0.613319236,0.045067444
BHL,workstat4,216.927218,74.59464557,0.082066486,0.027553511
Clarke,workstat4,467.7145032,89.7411701,0.130484432,0.026240423
Coile,workstat4,355.4536546,65.66820788,0.239547705,0.041834679
Hilsman,workstat4,531.6531043,121.7247646,0.125626565,0.027963518
BHL,workstat5,125.309219,57.41101412,0.047406164,0.021384102
Clarke,workstat5,145.8000018,69.58851058,0.040675733,0.019206988
Coile,workstat5,106.6606412,41.7142678,0.071880853,0.027444072
Hilsman,workstat5,392.8127423,121.6668313,0.092819387,0.027731933
BHL,hoursworked1,603.72695,126.3544516,0.120171073,0.024505607
Clarke,hoursworked1,1676.368514,291.3990696,0.158897388,0.02693655
Coile,hoursworked1,571.4763996,106.7070118,0.13388352,0.024595885
Hilsman,hoursworked1,824.2307494,170.0762988,0.09315708,0.018921175
BHL,hoursworked2,453.389976,108.4735392,0.090246691,0.021237138
Clarke,hoursworked2,527.1359746,156.2202491,0.049965463,0.014701425
Coile,hoursworked2,462.6153962,103.1186516,0.108379939,0.023879833
Hilsman,hoursworked2,876.6383786,184.1451323,0.09908035,0.020350758
BHL,hoursworked3,490.360077,113.8766368,0.097605542,0.022215316
Clarke,hoursworked3,690.5693588,182.0485096,0.06545677,0.01712384
Coile,hoursworked3,400.9840684,86.01776684,0.093941164,0.019966222
Hilsman,hoursworked3,545.2237018,141.8357012,0.06162285,0.015881699
BHL,hoursworked4,1532.560732,187.8376742,0.305054242,0.034869852
Clarke,hoursworked4,3769.439126,378.4069297,0.357292581,0.03376078
Coile,hoursworked4,1319.684117,144.9825559,0.309171043,0.032319206
Hilsman,hoursworked4,2724.192587,293.8870578,0.307896576,0.030921261
BHL,hoursworked5,1943.858091,209.7154408,0.386922452,0.037314594
Clarke,hoursworked5,3886.493735,397.2960015,0.368387798,0.03513428
