middleschool,variable.x,pct,pctse
BHL,monthlyinc2,0.149485887,0.021110896
Clarke,monthlyinc2,0.078230028,0.013818028
Coile,monthlyinc2,0.196185181,0.023127197
Hilsman,monthlyinc2,0.189716062,0.021723333
BHL,monthlyinc3,0.143303329,0.021499081
Clarke,monthlyinc3,0.10294466,0.017767057
Coile,monthlyinc3,0.161444424,0.022735173
Hilsman,monthlyinc3,0.129903858,0.018978129
BHL,monthlyinc4,0.146611203,0.0224533
Clarke,monthlyinc4,0.121434182,0.020306014
Coile,monthlyinc4,0.140466168,0.021244091
Hilsman,monthlyinc4,0.119046006,0.018001174
BHL,monthlyinc5,0.11186682,0.020101327
Clarke,monthlyinc5,0.080351611,0.01733527
Coile,monthlyinc5,0.081967658,0.016818132
Hilsman,monthlyinc5,0.10322137,0.017136026
BHL,monthlyinc6,0.104636066,0.019552638
Clarke,monthlyinc6,0.076197156,0.017094659
Coile,monthlyinc6,0.061976979,0.0150489
Hilsman,monthlyinc6,0.090123782,0.015711402
BHL,monthlyinc7,0.05594421,0.015142657
Clarke,monthlyinc7,0.078270873,0.017327219
Coile,monthlyinc7,0.039163691,0.010269658
Hilsman,monthlyinc7,0.056716809,0.012808944
BHL,monthlyinc8,0.208384032,0.025761848
Clarke,monthlyinc8,0.378491286,0.0303882
Coile,monthlyinc8,0.132183397,0.021311995
Hilsman,monthlyinc8,0.218555704,0.023319332
BHL,vet0,0.824446672,0.023611183
Clarke,vet0,0.904736018,0.018435623
Coile,vet0,0.880666355,0.018173974
Hilsman,vet0,0.878183455,0.018003821
BHL,vet1,0.175553328,0.023611183
Clarke,vet1,0.095263982,0.018435623
Coile,vet1,0.119333645,0.018173974
Hilsman,vet1,0.121816545,0.018003821
BHL,employed0,0.343612779,0.02864547
Clarke,employed0,0.265239445,0.025537456
Coile,employed0,0.255198835,0.023791524
Hilsman,employed0,0.327912701,0.025304352
BHL,employed1,0.656387221,0.02864547
Clarke,employed1,0.734760555,0.025537456
Coile,employed1,0.744801165,0.023791524
Hilsman,employed1,0.672087299,0.025304352
BHL,workstat1,0.029478706,0.017233168
Clarke,workstat1,0.031931607,0.018149478
Coile,workstat1,0.046518323,0.027467226
Hilsman,workstat1,0.072942072,0.025616715
BHL,workstat2,0.187419255,0.038758407
Clarke,workstat2,0.123654685,0.042077692
Coile,workstat2,0.180830544,0.041245818
Hilsman,workstat2,0.09529274,0.025431176
BHL,workstat3,0.653629389,0.04812349
Clarke,workstat3,0.673253542,0.050999984
Coile,workstat3,0.461222576,0.053604468
Hilsman,workstat3,0.613319236,0.045067444
BHL,workstat4,0.082066486,0.027553511
Clarke,workstat4,0.130484432,0.026240423
Coile,workstat4,0.239547705,0.041834679
Hilsman,workstat4,0.125626565,0.027963518
BHL,workstat5,0.047406164,0.021384102
Clarke,workstat5,0.040675733,0.019206988
Coile,workstat5,0.071880853,0.027444072
Hilsman,workstat5,0.092819387,0.027731933
BHL,hoursworked1,0.120171073,0.024505607
Clarke,hoursworked1,0.158897388,0.02693655
Coile,hoursworked1,0.13388352,0.024595885
Hilsman,hoursworked1,0.09315708,0.018921175
BHL,hoursworked2,0.090246691,0.021237138
Clarke,hoursworked2,0.049965463,0.014701425
Coile,hoursworked2,0.108379939,0.023879833
Hilsman,hoursworked2,0.09908035,0.020350758
BHL,hoursworked3,0.097605542,0.022215316
Clarke,hoursworked3,0.06545677,0.01712384
Coile,hoursworked3,0.093941164,0.019966222
Hilsman,hoursworked3,0.06162285,0.015881699
BHL,hoursworked4,0.305054242,0.034869852
Clarke,hoursworked4,0.357292581,0.03376078
Coile,hoursworked4,0.309171043,0.032319206
Hilsman,hoursworked4,0.307896576,0.030921261
BHL,hoursworked5,0.386922452,0.037314594
Clarke,hoursworked5,0.368387798,0.03513428
Coile,hoursworked5,0.354624333,0.03411447
Hilsman,hoursworked5,0.438243144,0.033138555
BHL,healthinsure0,0.352130944,0.036404974
Clarke,healthinsure0,0.362772558,0.032144853
Coile,healthinsure0,0.405381443,0.034770412
Hilsman,healthinsure0,0.312804242,0.030375817
BHL,healthinsure1,0.647869056,0.036404974
Clarke,healthinsure1,0.637227442,0.032144853
