middleschool,variable.x,est,se
Coile,uga_student0,560.8755776,93.80699723349413
Hilsman,uga_student0,838.2352002,165.48029103624464
BHLyons,uga_student1,410.61427399999997,108.9468851218952
Clarke,uga_student1,900.241707,214.63290699667866
Coile,uga_student1,576.6400500000001,114.74825835844237
Hilsman,uga_student1,961.371066,192.92792390645153
BHLyons,uga_status0,320.112748,96.78190648364848
Clarke,uga_status0,549.839881,157.05879893123551
Coile,uga_status0,135.14894,65.33380621995391
Hilsman,uga_status0,479.922598,139.20976420018798
BHLyons,uga_status1,91.64432599999999,52.047566836125526
Clarke,uga_status1,379.68142520000004,150.78808843297807
Coile,uga_status1,461.05771080000005,106.16367033134222
Hilsman,uga_status1,453.6314783,132.1812125674817
BHLyons,monthlyinc1,580.451353,117.62085559854566
Clarke,monthlyinc1,1158.6578188,208.2200727861711
Coile,monthlyinc1,1062.43503,128.45241056178438
Hilsman,monthlyinc1,1172.5208881,186.11724574374108
BHLyons,monthlyinc2,1087.764424,154.85485683617054
Clarke,monthlyinc2,1078.040149,190.4071356824634
Coile,monthlyinc2,1116.9348516,132.15024417573755
Hilsman,monthlyinc2,2399.2090521,277.0243643359889
BHLyons,monthlyinc3,1042.77579,157.6026590704425
Clarke,monthlyinc3,1418.617365,245.3412494324067
Coile,monthlyinc3,919.1464028,129.88648575198505
Hilsman,monthlyinc3,1642.8050951,241.2538495914819
BHLyons,monthlyinc4,1066.846201,164.78336290139617
Clarke,monthlyinc4,1673.4101474000001,280.9308165645475
Coile,monthlyinc4,799.7115674,121.40384634406999
Hilsman,monthlyinc4,1505.4932805,228.4294092742931
BHLyons,monthlyinc5,814.0216459999999,147.28191726124473
Clarke,monthlyinc5,1107.2763832,239.6271392441145
Coile,monthlyinc5,466.6638606,95.89295591187303
Hilsman,monthlyinc5,1305.3699512,217.5097658180335
BHLyons,monthlyinc6,761.405595,143.22551444333308
Clarke,monthlyinc6,1050.0263830000001,236.30564952845359
Coile,monthlyinc6,352.8515628,85.78519991126248
Hilsman,monthlyinc6,1139.73373,199.21980150864673
BHLyons,monthlyinc7,407.089411,110.54703331943738
Clarke,monthlyinc7,1078.6030036,239.50649261324375
Coile,monthlyinc7,222.9693944,58.56409545535725
Hilsman,monthlyinc7,717.2586241,162.23884906392107
BHLyons,monthlyinc8,1516.348741,190.23549348565678
Clarke,monthlyinc8,5215.7567930000005,428.7606353673782
Coile,monthlyinc8,752.5555278,121.60318580126682
Hilsman,monthlyinc8,2763.9242434000003,297.1982685089249
BHLyons,vet0,6430.44949,197.79330721151686
